,Investor Type,Years Forecasted,Initial Investment,Final Value
5943,moderate_investor,20,1287297,6580187
5944,nervous_investor,16,45417,110355
5945,aggressive_investor,23,513554,2610370
5946,aggressive_investor,11,1805088,3762472
5947,nervous_investor,46,1690276,31349212
5948,moderate_investor,27,1183637,8795092
5949,conservative_investor,47,1643403,25556567
5950,conservative_investor,21,189144,658963
5951,aggressive_investor,36,1244277,22135489
5952,aggressive_investor,44,62832,2153248
5953,nervous_investor,19,1031981,3308247
5954,conservative_investor,14,1161199,2696538
5955,moderate_investor,45,82054,2572328
5956,aggressive_investor,35,412327,6286781
5957,conservative_investor,48,1874124,30401891
5958,nervous_investor,16,1358461,3215217
5959,conservative_investor,10,1605443,2898860
5960,moderate_investor,34,127018,1494674
5961,conservative_investor,12,262577,517920
5962,moderate_investor,15,1276683,4217066
5963,moderate_investor,12,1337490,2941281
5964,conservative_investor,15,692641,1570903
5965,aggressive_investor,45,793649,28454122
5966,nervous_investor,37,827380,6653369
5967,aggressive_investor,30,732789,6602044
5968,conservative_investor,32,460597,2982738
5969,moderate_investor,46,672548,21496953
5970,aggressive_investor,41,1926454,44775378
5971,conservative_investor,37,279458,2313862
5972,nervous_investor,17,1596627,3343549
5973,aggressive_investor,11,1112154,2139209
5974,moderate_investor,35,425590,5934699
5975,nervous_investor,31,795041,4972020
5976,conservative_investor,21,439038,1481724
5977,nervous_investor,42,1901588,23796678
5978,nervous_investor,29,1685825,12612939
5979,moderate_investor,40,505281,12038715
5980,conservative_investor,25,1100395,4686121
5981,moderate_investor,14,665022,1893748
5982,moderate_investor,16,1707086,5301280
5983,aggressive_investor,49,1060474,48997702
5984,nervous_investor,37,836772,8565178
5985,aggressive_investor,32,946052,10155334
5986,nervous_investor,19,1873545,8017972
5987,nervous_investor,39,1540422,21848388
5988,conservative_investor,40,1644880,17669609
5989,moderate_investor,12,207524,515676
5990,aggressive_investor,14,297678,857902
5991,aggressive_investor,27,366575,2968347
5992,nervous_investor,40,335401,4975427
5993,conservative_investor,13,1211618,2513628
5994,moderate_investor,44,426825,10144273
5995,nervous_investor,33,404500,2413352
5996,conservative_investor,21,1164816,3700430
5997,conservative_investor,19,257975,786178
5998,aggressive_investor,40,1151642,27655237
5999,nervous_investor,49,1049628,20376255
6000,nervous_investor,37,797487,6455735
6001,conservative_investor,19,536311,1568527
6002,nervous_investor,40,1042302,16740491
6003,moderate_investor,20,1813144,8972564
6004,nervous_investor,21,110951,339604
6005,moderate_investor,28,1307817,10661515
6006,moderate_investor,29,1308474,10707430
6007,moderate_investor,35,908546,14079226
6008,conservative_investor,30,1272765,7004111
6009,aggressive_investor,32,430616,3928305
6010,moderate_investor,47,90165,3180404
6011,nervous_investor,39,141284,1374647
6012,conservative_investor,22,1412788,5175195
6013,conservative_investor,38,1187637,10806066
6014,conservative_investor,13,146257,295509
6015,nervous_investor,21,1438234,4740561
6016,moderate_investor,46,1624215,58831186
6017,nervous_investor,38,1013169,11006712
6018,nervous_investor,34,777647,5099786
6019,conservative_investor,10,727506,1234012
6020,aggressive_investor,10,1931656,4360123
6021,conservative_investor,39,353759,3365574
6022,conservative_investor,15,96557,241506
6023,aggressive_investor,23,932723,5005433
6024,nervous_investor,48,254733,4684657
6025,moderate_investor,34,895013,11605769
6026,moderate_investor,21,943055,4596511
6027,moderate_investor,13,621493,1737059
6028,conservative_investor,49,890954,15180255
6029,nervous_investor,18,165220,553754
6030,nervous_investor,15,136143,293558
6031,moderate_investor,28,1658566,13640105
6032,aggressive_investor,10,789194,1734901
6033,moderate_investor,19,565758,2176303
6034,moderate_investor,32,208318,2220437
6035,conservative_investor,46,1678730,24056514
6036,conservative_investor,43,1814859,23408147
6037,aggressive_investor,38,1765283,38775372
6038,conservative_investor,47,1180756,19198049
6039,moderate_investor,32,259462,3150572
6040,moderate_investor,46,532407,17151188
6041,conservative_investor,30,179446,1059902
6042,aggressive_investor,19,1005613,4752453
6043,moderate_investor,13,44791,121508
6044,moderate_investor,17,355816,1247903
6045,aggressive_investor,50,485531,28220919
6046,moderate_investor,38,79122,1341947
6047,moderate_investor,12,1331166,3205750
6048,conservative_investor,37,1613278,14113433
6049,moderate_investor,50,496415,20460916
6050,nervous_investor,28,68865,389454
6051,aggressive_investor,29,1524924,16034639
6052,aggressive_investor,19,991825,4615200
6053,moderate_investor,14,1849552,5120074
6054,nervous_investor,43,163533,1807879
6055,moderate_investor,29,487224,4421917
6056,aggressive_investor,19,1321325,5462788
6057,aggressive_investor,43,1009165,30902345
6058,nervous_investor,46,1668543,34722518
6059,nervous_investor,31,1100295,5947714
6060,nervous_investor,36,91057,895673
6061,aggressive_investor,22,509195,2610699
6062,aggressive_investor,21,1072510,5189976
6063,conservative_investor,37,711402,6350391
6064,nervous_investor,25,1584129,6511194
6065,aggressive_investor,33,1815284,27342524
6066,moderate_investor,16,1193237,3852513
6067,moderate_investor,11,367785,841430
6068,aggressive_investor,46,236548,9907726
6069,nervous_investor,49,975867,24365022
6070,aggressive_investor,20,1681677,8578693
6071,aggressive_investor,34,47410,669003
6072,moderate_investor,45,332275,11247226
6073,conservative_investor,48,1792097,29829480
6074,nervous_investor,30,98467,604585
6075,aggressive_investor,43,776003,23097137
6076,moderate_investor,42,248264,6078786
6077,conservative_investor,15,1974126,4712108
6078,conservative_investor,10,1765492,3103358
6079,aggressive_investor,26,363755,2834316
6080,nervous_investor,31,1688330,10393004
6081,aggressive_investor,37,1773172,33652599
6082,moderate_investor,15,1798223,5321042
6083,aggressive_investor,33,1660792,18123081
6084,nervous_investor,43,173176,1569676
6085,aggressive_investor,26,1244950,12192201
6086,nervous_investor,37,59333,619875
6087,aggressive_investor,30,424581,4948911
6088,conservative_investor,50,645721,11742864
6089,aggressive_investor,43,567844,18094285
6090,aggressive_investor,18,1052515,4358899
6091,conservative_investor,46,172609,2268319
6092,moderate_investor,40,1206634,25895607
6093,conservative_investor,22,1717010,5975681
6094,nervous_investor,20,1009714,4287301
6095,nervous_investor,11,170409,235938
6096,conservative_investor,47,936596,14090361
6097,nervous_investor,26,906066,5600324
6098,moderate_investor,13,1731702,4665388
6099,conservative_investor,11,200185,393023
6100,moderate_investor,39,525889,10011688
6101,nervous_investor,27,1416155,8485755
6102,moderate_investor,25,130187,834486
6103,conservative_investor,46,958173,12600916
6104,aggressive_investor,30,1624369,21256672
6105,nervous_investor,21,401795,1490734
6106,moderate_investor,33,708545,8607063
6107,nervous_investor,24,1090092,4219930
6108,aggressive_investor,42,606873,14465347
6109,aggressive_investor,18,1138815,4347900
6110,nervous_investor,35,20305,201969
6111,aggressive_investor,45,1810172,62463957
6112,aggressive_investor,38,1465990,30529493
6113,conservative_investor,22,1308343,4607907
6114,conservative_investor,21,81504,277377
6115,aggressive_investor,38,1110078,21735578
6116,conservative_investor,28,1124252,5859780
6117,moderate_investor,13,84440,238150
6118,aggressive_investor,18,394874,1590235
6119,moderate_investor,16,1454465,4524469
6120,moderate_investor,47,1091032,36097045
6121,aggressive_investor,43,1964686,67799221
6122,conservative_investor,15,1219467,2869568
6123,aggressive_investor,28,1349428,10260136
6124,nervous_investor,16,1151983,2372606
6125,moderate_investor,18,554205,2311906
6126,nervous_investor,48,685953,16100309
6127,nervous_investor,12,1088051,2155733
6128,moderate_investor,16,461177,1595447
6129,nervous_investor,27,776049,3066329
6130,moderate_investor,43,68847,1573251
6131,nervous_investor,36,438588,4064073
6132,aggressive_investor,13,126948,351063
6133,aggressive_investor,48,670841,34548053
6134,nervous_investor,38,932966,10760549
6135,moderate_investor,28,354706,2647697
6136,conservative_investor,49,1251357,20380681
6137,conservative_investor,25,840697,3666804
6138,conservative_investor,28,81710,420767
6139,nervous_investor,20,1036231,3937240
6140,moderate_investor,39,957404,19163443
6141,nervous_investor,23,1225235,4540898
6142,moderate_investor,41,85960,1967877
6143,moderate_investor,32,490879,5470615
6144,moderate_investor,19,1920904,8625180
6145,moderate_investor,38,332509,5949776
6146,conservative_investor,38,1643329,14962544
6147,nervous_investor,46,1109487,19130507
6148,aggressive_investor,32,1473365,18639722
6149,aggressive_investor,23,644107,3485038
6150,aggressive_investor,44,173629,6044384
6151,nervous_investor,10,1982188,3821375
6152,nervous_investor,47,1415401,24873529
6153,nervous_investor,45,31204,512133
6154,moderate_investor,32,1514019,15485777
6155,aggressive_investor,36,1895447,33212035
6156,conservative_investor,47,674356,9318034
6157,aggressive_investor,40,83808,2766516
6158,aggressive_investor,30,394541,4334501
6159,conservative_investor,33,1341173,9631055
6160,moderate_investor,23,372834,1985575
6161,nervous_investor,32,285821,1800385
6162,conservative_investor,29,291104,1671719
6163,conservative_investor,49,476385,7854857
6164,moderate_investor,33,1112513,12442939
6165,aggressive_investor,34,1529487,22824972
6166,aggressive_investor,12,1439145,3338197
6167,nervous_investor,32,146123,891967
6168,conservative_investor,45,714808,10248661
6169,nervous_investor,20,1602365,5521942
6170,aggressive_investor,49,1098085,69709977
6171,conservative_investor,22,577098,2091083
6172,aggressive_investor,47,21040,871058
6173,moderate_investor,50,1375599,53397819
6174,conservative_investor,23,664918,2465885
6175,nervous_investor,43,1190626,17938455
6176,conservative_investor,28,1693029,8423597
6177,moderate_investor,29,1993969,14951539
6178,aggressive_investor,45,1588243,56109505
6179,aggressive_investor,17,528563,1804234
6180,nervous_investor,26,1171119,4577420
6181,moderate_investor,40,1777276,37227095
6182,moderate_investor,19,355625,1438668
6183,conservative_investor,49,1823599,29365601
6184,moderate_investor,14,960282,2711935
6185,moderate_investor,11,1218371,2842133
6186,aggressive_investor,21,1888165,9462267
6187,conservative_investor,40,1573118,15434901
6188,moderate_investor,23,756852,4299027
6189,moderate_investor,47,1513362,46897968
6190,aggressive_investor,23,243147,1347731
6191,conservative_investor,35,881081,6628628
6192,aggressive_investor,31,422169,3625006
6193,conservative_investor,25,1847143,8287032
6194,nervous_investor,34,148089,1224437
6195,aggressive_investor,43,1039434,23064246
6196,moderate_investor,38,1577540,30757658
6197,conservative_investor,23,536399,2153790
6198,conservative_investor,15,222441,556438
6199,moderate_investor,30,231719,2101400
6200,nervous_investor,27,1818939,9311964
6201,conservative_investor,20,970890,3140623
6202,moderate_investor,10,698105,1464118
6203,conservative_investor,28,1377023,7211990
6204,conservative_investor,21,590352,2080659
6205,nervous_investor,38,738504,7215987
6206,aggressive_investor,45,1923812,67644444
6207,moderate_investor,20,858778,3865141
6208,moderate_investor,36,1259687,18542729
6209,conservative_investor,47,650478,9136647
6210,nervous_investor,24,704871,2667425
6211,moderate_investor,23,1619432,9311941
6212,conservative_investor,43,245005,2804276
6213,conservative_investor,18,1099503,3149720
6214,conservative_investor,42,192327,2290149
6215,conservative_investor,50,787139,14858330
6216,aggressive_investor,42,1938705,58030903
6217,aggressive_investor,48,575334,26060332
6218,moderate_investor,25,1192638,7580353
6219,conservative_investor,33,1100966,7485737
6220,conservative_investor,28,1865975,8939292
6221,conservative_investor,10,879233,1623166
6222,conservative_investor,16,956122,2379536
6223,aggressive_investor,23,497644,3145616
6224,moderate_investor,27,1397565,9678393
6225,conservative_investor,20,1948330,5992905
6226,conservative_investor,30,295822,1634361
6227,moderate_investor,26,1311821,8322032
6228,moderate_investor,20,1708002,8005664
6229,conservative_investor,44,457332,6379677
6230,aggressive_investor,14,1110631,3418818
6231,aggressive_investor,13,1405174,3443640
6232,aggressive_investor,41,957235,19926086
6233,aggressive_investor,34,308055,4372938
6234,conservative_investor,50,1114983,20529490
6235,nervous_investor,20,1366175,5135465
6236,aggressive_investor,43,711094,20729558
6237,aggressive_investor,38,374310,7659890
6238,aggressive_investor,16,1971654,6643413
6239,aggressive_investor,23,1610611,9334645
6240,aggressive_investor,32,241714,2363085
6241,moderate_investor,14,1696482,4860563
6242,moderate_investor,37,693102,11608675
6243,aggressive_investor,12,713140,1701176
6244,moderate_investor,34,100051,1385316
6245,moderate_investor,36,1945181,28821629
6246,moderate_investor,19,804162,3184130
6247,conservative_investor,50,678243,11641433
6248,conservative_investor,24,1897868,7337139
6249,nervous_investor,40,1236864,14248358
6250,conservative_investor,43,1192588,14129196
6251,moderate_investor,22,295135,1581768
6252,aggressive_investor,24,1086251,6675252
6253,conservative_investor,26,659224,2814246
6254,aggressive_investor,47,1516452,50426759
6255,aggressive_investor,35,1021548,17992054
6256,nervous_investor,18,1910459,5089474
6257,conservative_investor,22,338424,1235122
6258,aggressive_investor,41,282830,6963143
6259,aggressive_investor,20,1617093,9201533
6260,conservative_investor,50,1382768,25646830
6261,nervous_investor,34,86834,703375
6262,moderate_investor,31,1225241,12255534
6263,conservative_investor,49,1129097,18214971
6264,conservative_investor,23,1681750,6507592
6265,nervous_investor,14,1990988,4498786
6266,aggressive_investor,21,991435,5167249
6267,conservative_investor,13,1729859,3705445
6268,conservative_investor,36,1223044,10570233
6269,nervous_investor,13,333728,796369
6270,conservative_investor,35,1497367,11852742
6271,moderate_investor,19,251229,1086836
6272,moderate_investor,28,992086,7707733
6273,conservative_investor,38,409434,3383626
6274,conservative_investor,39,1832511,16944951
6275,conservative_investor,35,1381422,10064666
6276,aggressive_investor,48,587721,25664590
6277,aggressive_investor,26,1287953,10759373
6278,nervous_investor,12,1142662,2228819
6279,moderate_investor,42,367692,8733568
6280,moderate_investor,41,144662,3202440
6281,aggressive_investor,23,572265,4053900
6282,nervous_investor,46,401318,5659667
6283,conservative_investor,36,571837,4560980
6284,nervous_investor,32,1444838,9980517
6285,moderate_investor,33,1194346,13443671
6286,nervous_investor,13,1041391,2091520
6287,moderate_investor,41,1199019,25810334
6288,nervous_investor,20,1674010,7943173
6289,conservative_investor,34,1784825,12747974
6290,moderate_investor,48,889850,31857003
6291,nervous_investor,24,683824,2510446
6292,conservative_investor,33,1217319,8486450
6293,nervous_investor,47,513600,10253642
6294,nervous_investor,31,914582,5805491
6295,conservative_investor,36,399023,3328960
6296,aggressive_investor,19,1584662,6903830
6297,moderate_investor,49,877802,30911132
6298,aggressive_investor,11,1552312,3725365
6299,aggressive_investor,36,1872450,33764670
6300,nervous_investor,23,198340,761712
6301,aggressive_investor,36,230632,4457295
6302,conservative_investor,28,1699261,8721397
6303,nervous_investor,31,1436028,8160259
6304,aggressive_investor,50,1504079,90446307
6305,aggressive_investor,45,839515,26843333
6306,aggressive_investor,25,213896,1639027
6307,moderate_investor,35,1538939,22003285
6308,nervous_investor,19,809098,2711428
6309,conservative_investor,44,1654422,19574591
6310,moderate_investor,15,100811,312003
6311,nervous_investor,31,632273,4463165
6312,moderate_investor,47,1981005,69572049
6313,aggressive_investor,38,233095,5932951
6314,aggressive_investor,29,1397034,13553703
6315,moderate_investor,18,1749705,6487108
6316,aggressive_investor,20,716091,3159023
6317,moderate_investor,47,428564,14872916
6318,moderate_investor,27,745841,5633645
6319,nervous_investor,46,1189991,16040730
6320,moderate_investor,36,469208,6605013
6321,moderate_investor,14,1975356,5669128
6322,aggressive_investor,39,1274855,24296292
6323,moderate_investor,13,1803758,4620381
6324,aggressive_investor,21,1729917,8143325
6325,moderate_investor,47,1606273,52972102
6326,aggressive_investor,15,579772,1822835
6327,conservative_investor,16,1546882,3794672
6328,conservative_investor,35,1937105,15797051
6329,conservative_investor,33,219135,1536418
6330,nervous_investor,42,1559422,19814135
6331,conservative_investor,44,1745312,22623909
6332,conservative_investor,46,1854032,27933832
6333,nervous_investor,46,154302,1631612
6334,conservative_investor,33,1489091,10796557
6335,aggressive_investor,48,213970,11292778
6336,nervous_investor,39,801105,10896511
6337,moderate_investor,29,941838,7862191
6338,nervous_investor,14,1743967,3895129
6339,moderate_investor,34,1509409,18595586
6340,nervous_investor,39,530661,6274523
6341,nervous_investor,33,1976413,10912467
6342,aggressive_investor,28,893041,9071690
6343,aggressive_investor,26,904578,7313877
6344,nervous_investor,23,178368,624631
6345,nervous_investor,25,34453,166509
6346,aggressive_investor,10,1326363,2853535
6347,moderate_investor,29,599698,5597922
6348,moderate_investor,43,335610,7854896
6349,conservative_investor,23,1526830,6023910
6350,nervous_investor,16,442495,1257800
6351,moderate_investor,21,1268847,6207037
6352,nervous_investor,33,259890,1635023
6353,nervous_investor,29,944461,5977597
6354,moderate_investor,31,980400,10308083
6355,nervous_investor,27,639663,2855910
6356,aggressive_investor,35,1808609,29000298
6357,moderate_investor,15,524825,1643618
6358,moderate_investor,15,698817,2097295
6359,moderate_investor,16,1451049,4782355
6360,aggressive_investor,18,1302301,5120264
6361,moderate_investor,20,1703997,7218384
6362,aggressive_investor,12,1564020,3721747
6363,aggressive_investor,43,1435389,41184185
6364,aggressive_investor,34,371779,5204420
6365,moderate_investor,41,118591,2579760
6366,nervous_investor,10,1587289,2886622
6367,conservative_investor,33,1089008,7525127
6368,nervous_investor,21,1421728,4780876
6369,aggressive_investor,37,523466,13532345
6370,moderate_investor,35,1478642,21389973
6371,moderate_investor,12,1925992,4959685
6372,aggressive_investor,41,1219377,31786827
6373,conservative_investor,48,1794354,29502994
6374,nervous_investor,11,697813,1120592
6375,aggressive_investor,44,261766,8259720
6376,nervous_investor,31,976710,6310883
6377,nervous_investor,19,554780,1485006
6378,conservative_investor,19,940559,2855457
6379,moderate_investor,18,1863978,6977245
6380,nervous_investor,22,314914,965735
6381,conservative_investor,48,1129139,17977679
6382,conservative_investor,11,823835,1522662
6383,conservative_investor,22,475601,1816605
6384,conservative_investor,32,734962,4756117
6385,moderate_investor,35,1710753,25651199
6386,moderate_investor,25,1374369,9073371
6387,aggressive_investor,23,35627,196792
6388,moderate_investor,21,1589271,7320191
6389,conservative_investor,13,1514131,3331110
6390,nervous_investor,30,902233,6591762
6391,nervous_investor,33,327055,2247963
6392,moderate_investor,15,1177970,3641354
6393,nervous_investor,23,1691173,5494029
6394,aggressive_investor,48,396734,22852402
6395,conservative_investor,11,560421,1108380
6396,conservative_investor,36,1281066,11285497
6397,conservative_investor,15,429251,1006929
6398,moderate_investor,28,1306507,11257220
6399,aggressive_investor,35,374944,6079116
6400,conservative_investor,28,1194659,6047019
6401,aggressive_investor,45,77074,2614459
6402,conservative_investor,18,1485707,4162271
6403,aggressive_investor,44,1505066,39023113
6404,nervous_investor,47,520169,8853138
6405,conservative_investor,15,1466666,3646437
6406,moderate_investor,38,1232541,20374305
6407,aggressive_investor,32,408317,5767273
6408,nervous_investor,13,1774016,3276658
6409,nervous_investor,44,1485490,22421450
6410,conservative_investor,14,264311,582328
6411,aggressive_investor,30,158820,1629439
6412,nervous_investor,49,1002339,20587066
6413,conservative_investor,16,541921,1355559
6414,aggressive_investor,21,153100,556041
6415,conservative_investor,47,1242149,18809891
6416,aggressive_investor,32,1983482,28269435
6417,conservative_investor,50,1330387,22923050
6418,moderate_investor,34,301407,3639345
6419,moderate_investor,24,1287977,7973716
6420,aggressive_investor,23,1136570,6590370
6421,nervous_investor,48,985127,22035307
6422,aggressive_investor,18,1718596,6474123
6423,nervous_investor,50,1313197,35315763
6424,moderate_investor,41,1810842,36745042
6425,aggressive_investor,29,449339,5101037
6426,aggressive_investor,34,651454,8248650
6427,conservative_investor,26,346232,1615920
6428,moderate_investor,45,821302,22170508
6429,conservative_investor,23,300570,1110359
6430,moderate_investor,42,1179811,32560786
6431,nervous_investor,30,1045159,5268544
6432,nervous_investor,21,863290,2760781
6433,aggressive_investor,39,214481,4857014
6434,conservative_investor,49,477920,8139439
6435,moderate_investor,24,180478,1059177
6436,nervous_investor,48,384588,6799929
6437,nervous_investor,10,163584,265819
6438,conservative_investor,49,542865,8818730
6439,aggressive_investor,44,1392441,44983120
6440,conservative_investor,15,1748006,4194372
6441,moderate_investor,43,897624,23050047
6442,moderate_investor,25,699362,4708419
6443,nervous_investor,18,784791,2081683
6444,nervous_investor,23,948916,3110280
6445,conservative_investor,47,680922,10058547
6446,moderate_investor,26,1059823,6897170
6447,moderate_investor,11,1122558,2589093
6448,aggressive_investor,16,818618,2724170
6449,aggressive_investor,18,790517,2876386
6450,moderate_investor,42,1007180,20854331
6451,aggressive_investor,42,1457895,40991032
6452,conservative_investor,26,1246605,5914416
6453,moderate_investor,34,190466,2346553
6454,moderate_investor,37,868977,13122510
6455,aggressive_investor,13,366055,827825
6456,aggressive_investor,13,422666,1038330
6457,moderate_investor,25,1332319,8044631
6458,nervous_investor,15,179089,386032
6459,aggressive_investor,43,1490240,41181099
6460,moderate_investor,15,21393,59639
6461,aggressive_investor,17,776680,2733727
6462,nervous_investor,15,1795594,4338014
6463,nervous_investor,18,29778,108851
6464,conservative_investor,13,389592,816586
6465,aggressive_investor,18,975333,4126313
6466,conservative_investor,31,1268240,7526716
6467,aggressive_investor,21,788811,3869673
6468,nervous_investor,24,14998,56282
6469,nervous_investor,30,800274,5155825
6470,nervous_investor,46,436905,5368347
6471,nervous_investor,20,1523424,4969627
6472,moderate_investor,46,803749,26949782
6473,aggressive_investor,30,1389058,12812706
6474,moderate_investor,31,1754518,17049063
6475,nervous_investor,18,1725843,5254609
6476,aggressive_investor,41,553393,16893126
6477,conservative_investor,31,642601,3662453
6478,aggressive_investor,20,1505462,7760740
6479,aggressive_investor,13,1983503,4945721
6480,aggressive_investor,13,1909566,5585920
6481,aggressive_investor,39,613023,15932266
6482,nervous_investor,32,321237,1505290
6483,conservative_investor,19,407069,1224850
6484,aggressive_investor,41,685689,18451323
6485,nervous_investor,42,731826,7540266
6486,aggressive_investor,45,1784181,50412698
6487,moderate_investor,36,1672707,28045917
6488,aggressive_investor,38,623196,11166281
6489,aggressive_investor,37,520449,9914971
6490,aggressive_investor,42,257692,6024836
6491,moderate_investor,45,704642,22447155
6492,nervous_investor,44,1048939,17016215
6493,aggressive_investor,10,1886233,4804335
6494,conservative_investor,41,1980533,20467143
6495,conservative_investor,19,1348059,3860093
6496,aggressive_investor,32,952801,10810051
6497,aggressive_investor,28,1364320,10769703
6498,moderate_investor,18,646685,2385718
6499,nervous_investor,24,1303368,6149109
6500,aggressive_investor,32,829388,10518483
6501,aggressive_investor,23,522217,3428234
6502,aggressive_investor,15,157849,485345
6503,moderate_investor,43,371949,9911307
6504,moderate_investor,13,1264502,3551216
6505,moderate_investor,19,1256075,5394765
6506,nervous_investor,46,1330135,20240475
6507,conservative_investor,17,576256,1594933
6508,nervous_investor,47,1881026,40677597
6509,moderate_investor,48,1681323,57502688
6510,aggressive_investor,31,1925035,20592708
6511,aggressive_investor,35,1900267,26898407
6512,conservative_investor,28,222135,1105183
6513,aggressive_investor,31,1803872,20153978
6514,conservative_investor,29,1944651,10322270
6515,conservative_investor,29,453640,2610086
6516,nervous_investor,43,431156,5212330
6517,moderate_investor,23,434225,2231042
6518,aggressive_investor,30,806566,9678780
6519,conservative_investor,30,644510,3754831
6520,aggressive_investor,33,1091904,13341926
6521,conservative_investor,10,1575405,2869459
6522,conservative_investor,16,1015323,2518375
6523,aggressive_investor,48,1625192,77941486
6524,aggressive_investor,34,1206998,16201754
6525,aggressive_investor,28,1827091,14599040
6526,aggressive_investor,28,192795,1537017
6527,conservative_investor,47,1859080,29358402
6528,moderate_investor,45,995462,33390027
6529,conservative_investor,19,1159901,3667043
6530,nervous_investor,19,1954372,6610481
6531,conservative_investor,49,906938,16944587
6532,conservative_investor,46,544336,7630469
6533,aggressive_investor,31,1296262,16950810
6534,aggressive_investor,21,1091402,4708416
6535,aggressive_investor,14,269635,771625
6536,moderate_investor,35,763578,10665153
6537,conservative_investor,32,1050042,6697582
6538,conservative_investor,20,1591520,5262999
6539,moderate_investor,23,1942844,12091052
6540,nervous_investor,40,1929963,21772546
6541,aggressive_investor,24,565201,3056741
6542,conservative_investor,49,1090034,18519767
6543,moderate_investor,47,340950,12604248
6544,conservative_investor,25,108008,467198
6545,aggressive_investor,11,804269,1683228
6546,nervous_investor,38,1148434,14541484
6547,aggressive_investor,46,1120205,41859687
6548,aggressive_investor,49,216095,9510207
6549,aggressive_investor,32,743096,8960725
6550,nervous_investor,28,1160188,5206993
6551,conservative_investor,26,1236532,5899030
6552,conservative_investor,35,373829,2826718
6553,nervous_investor,39,1860027,18015680
6554,conservative_investor,23,616582,2299821
6555,conservative_investor,16,31652,79631
6556,nervous_investor,18,917059,3015108
6557,conservative_investor,17,441747,1175671
6558,nervous_investor,42,559744,7557745
6559,aggressive_investor,14,68483,209288
6560,nervous_investor,21,990898,3087513
6561,aggressive_investor,14,1388291,3938234
6562,aggressive_investor,17,857925,3369639
6563,aggressive_investor,36,587184,9128302
6564,nervous_investor,42,1635617,19572825
6565,nervous_investor,49,608459,14984242
6566,aggressive_investor,26,778426,6681338
6567,nervous_investor,43,630133,10107069
6568,conservative_investor,47,1533814,21965208
6569,nervous_investor,18,1207382,3541543
6570,moderate_investor,24,1032216,6619261
6571,moderate_investor,32,229870,2686674
6572,nervous_investor,38,1054809,9393277
6573,moderate_investor,27,1409144,10690996
6574,conservative_investor,30,1238596,6772129
6575,nervous_investor,37,137496,1302550
6576,aggressive_investor,36,1200901,17455234
6577,nervous_investor,20,511497,1616220
6578,nervous_investor,50,1719355,40535485
6579,nervous_investor,10,210421,362319
6580,aggressive_investor,26,786150,5557666
6581,nervous_investor,50,1871006,48461750
6582,moderate_investor,23,828477,4538504
6583,aggressive_investor,34,826578,13459771
6584,moderate_investor,32,361304,4082559
6585,aggressive_investor,19,1079585,4746052
6586,nervous_investor,16,963661,2560019
6587,aggressive_investor,28,322833,3103275
6588,conservative_investor,48,653921,10031021
6589,aggressive_investor,33,690801,9515651
6590,conservative_investor,14,1588278,3521606
6591,conservative_investor,39,290778,2786569
6592,aggressive_investor,22,1484797,7912317
6593,moderate_investor,25,549277,3636964
6594,aggressive_investor,20,71521,344664
6595,nervous_investor,36,842813,6133715
6596,conservative_investor,36,903486,7194393
6597,aggressive_investor,44,930354,27796917
6598,moderate_investor,22,862187,4511629
6599,aggressive_investor,20,1878106,9216445
6600,nervous_investor,10,1108141,2029561
6601,conservative_investor,29,301839,1620530
6602,moderate_investor,20,806317,3587361
6603,moderate_investor,36,392793,6039576
6604,conservative_investor,29,1283662,6718038
6605,conservative_investor,50,1624333,28416871
6606,aggressive_investor,23,1382505,8045475
6607,nervous_investor,40,1649323,16858211
6608,nervous_investor,23,1272075,4517226
6609,moderate_investor,41,969793,20724130
6610,conservative_investor,24,1483600,5999838
6611,conservative_investor,21,1374094,4663942
6612,aggressive_investor,43,501625,14887126
6613,nervous_investor,31,1585342,7594876
6614,moderate_investor,23,1146817,5979068
6615,nervous_investor,24,406431,1667003
6616,moderate_investor,37,1657817,26380021
6617,aggressive_investor,22,174978,907275
6618,conservative_investor,49,1702882,28109935
6619,conservative_investor,31,1610615,9606116
6620,conservative_investor,32,1550493,9603258
6621,nervous_investor,50,210222,4959037
6622,nervous_investor,20,1877977,6642995
6623,aggressive_investor,44,651969,17039259
6624,conservative_investor,47,1907024,29393043
6625,moderate_investor,13,1745851,4747579
6626,nervous_investor,19,85857,277959
6627,conservative_investor,30,981592,5871225
6628,moderate_investor,16,60295,198253
6629,conservative_investor,19,187960,590954
6630,aggressive_investor,45,1397762,53527176
6631,moderate_investor,46,532189,14854454
6632,aggressive_investor,12,204215,445771
6633,nervous_investor,40,526657,6507202
6634,aggressive_investor,46,1231187,42351145
6635,conservative_investor,29,1341865,7258741
6636,conservative_investor,31,1290460,7720463
6637,aggressive_investor,14,391019,1110406
6638,moderate_investor,16,989853,3184684
6639,nervous_investor,38,400642,3534505
6640,moderate_investor,16,681753,2278525
6641,aggressive_investor,16,1732774,5873654
6642,conservative_investor,46,453708,6362756
6643,conservative_investor,12,1918537,3810972
6644,nervous_investor,49,1941137,53464696
6645,aggressive_investor,47,1044028,38353667
6646,nervous_investor,13,1478064,3187449
6647,conservative_investor,28,629841,3116461
6648,moderate_investor,39,610075,11810215
6649,conservative_investor,25,1067336,4542588
6650,nervous_investor,42,1755593,20723180
6651,moderate_investor,24,539581,3282423
6652,nervous_investor,38,1687060,16292061
